	Source 1	Source 2	Source 3	Source 4	Source 5	Source Sum
Page 9576	552	238	811	624	115	2340
Page 7101	238	370	1225	1759	157	3749
Page 6364	54	69	1098	199	2656	4076
Page 3550	638	943	243	1790	502	4116
Page 9877	251	174	3578	63	538	4604
Page 3426	160	1176	51	1313	1957	4657
Page 8822	2227	918	749	13	835	4742
Page 5705	1590	507	45	2513	382	5037
Page 8137	1368	154	591	2081	946	5140
Page 142	1364	267	438	594	2648	5311
Page 9468	573	541	1050	3166	187	5517
Page 44	2954	524	524	1429	225	5656
Page 5979	1492	3538	168	450	151	5799
Page 650	507	894	3280	1419	98	6198
Page 113	890	814	1269	3254	111	6338
Page 1264	2226	1676	1381	929	288	6500
Page 7746	162	2731	537	2398	893	6721
Page 5682	193	1847	680	1731	2481	6932
Page 4860	193	598	876	303	5315	7285
Page 9905	2612	418	2605	1091	611	7337
Page 7350	966	3807	1149	844	685	7451
Page 3605	738	284	1811	4433	402	7668
Page 534	4611	192	1242	1339	302	7686
Page 9054	147	3440	3279	844	15	7725
Page 8815	4529	1077	636	1408	126	7776
Page 8655	1727	356	2120	364	3219	7786
Page 7956	484	2861	3385	506	607	7843
Page 245	2752	3481	611	696	326	7866
Page 5861	483	1372	758	42	5238	7893
Page 4766	1183	2316	583	3873	63	8018
Page 5038	3328	4184	235	203	100	8050
Page 1684	982	3309	728	758	2386	8163
Page 6646	4300	911	736	2124	117	8188
Page 5383	487	910	273	1194	5335	8199
Page 4331	2111	4138	134	1113	727	8223
Page 6485	379	1906	492	73	5377	8227
Page 652	2100	136	122	3314	2598	8270
Page 7042	2131	1464	2094	293	2362	8344
Page 2539	1863	985	812	1993	2736	8389
Page 3203	556	1166	2896	916	2895	8429
Page 9278	593	327	1051	1108	5353	8432
Page 9	5157	701	30	2447	107	8442
Page 7163	807	1532	1636	2327	2254	8556
Page 3208	655	267	232	6753	659	8566
Page 5734	3465	2684	1392	148	888	8577
Page 4226	1762	3225	2666	715	262	8630
Page 2343	3544	1249	1858	132	1967	8750
Page 1140	377	683	1472	2127	4139	8798
Page 902	2898	476	1257	500	3777	8908
Page 9861	4704	965	710	910	1622	8911
Page 1967	2586	2381	1678	114	2168	8927
Page 8967	71	3659	388	1179	3646	8943
Page 2468	1893	1121	2035	1645	2264	8958
Page 8896	469	638	929	4514	2426	8976
Page 9203	501	1453	2131	1597	3298	8980
Page 1266	1132	4708	1585	331	1359	9115
Page 9356	1029	493	1800	481	5360	9163
Page 4474	305	1367	197	5976	1409	9254
Page 525	664	1006	1388	4382	1854	9294
Page 1505	2044	4353	695	1503	743	9338
Page 3270	1749	1066	957	4051	1554	9377
Page 1253	2754	2690	1030	1914	991	9379
Page 2930	93	4907	1739	2580	88	9407
Page 6707	2705	1181	469	1872	3200	9427
Page 9128	1532	4112	1395	1963	460	9462
Page 6370	2674	1894	1514	1869	1559	9510
Page 6079	908	1971	1182	5539	29	9629
Page 8818	452	1566	4555	1157	1927	9657
Page 2068	5985	598	3044	36	9	9672
Page 3163	1223	1855	4564	1636	423	9701
Page 1274	2422	5249	367	1464	204	9706
Page 5775	1176	1933	6283	248	91	9731
Page 5599	1690	7308	130	44	575	9747
Page 888	1570	3940	1568	2640	51	9769
Page 111	6884	588	918	241	1188	9819
Page 3451	3712	1010	619	3122	1396	9859
